"","Species","Song.ID","Date..MDY.","Time","Locality","GPS.coordinate.N","GPS.coordinate.W","Elevation..m.","Habitat.Type","X..Canopy.Cover","Dominant.Species","Tree.Size.Class","Understory.code","Est.dist.from.recorder","Background.species","Disturbance.in.recording.","Banded","Recorder.Initials","Number.of.files","Usable","songs.to.analyze","buzzy.or.clear","Notes"
"13","Setophaga townsendi","SRE06M05","5/6/2017","7:18:00 AM","JORDAN RIVER","48 26.254","124 04.695",94,"Mixed Conifer/Hardwood",90,"Douglas Fir (Pseudotsuga menziesii), Western Hemlock (Tsuga heterophylla), RED ALDER (ALNUS RUBRA)",3,"4","20",NA,NA,"Yes",NA,1,"yes",NA,"clear","TRACK 1005; RE06M01"
"14","Setophaga townsendi","SRE06M06","5/6/2017","8:55:00 AM","JORDAN RIVER (OFF OF HIGHWAY 14)","48 26.475","124 06.562",145,"Conifer",95,"Red Cedar (Thuga plicata), Sitka Spruce (Picea sitchensis)",3,"4","15","HUVI, WIWA","TRAFFIC","Yes",NA,1,"yes",NA,"clear",NA
"15","Setophaga townsendi","SRE06M07","5/6/2017","10:14:00 AM","JORDAN RIVER (OFF OF HIGHWAY 14)","48 26.646","127 07.069",146,"Conifer",90,"Western Hemlock (Tsuga heterophylla), Sitka Spruce (Picea sitchensis)",3,"6","15","WIWA","TRAFFIC","Yes","EM",2,"yes (1,2)",NA,"clear","2ND TOWA SINGING IN DISTANCE IS SRE06M08; TRACKS 46 AND 47"
"16","Setophaga townsendi","SRE07M01","5/7/2017","6:22:00 AM","LOON LAKE","49 15.270","124 41.971",393,"Conifer",60,"Douglas Fir (Pseudotsuga menziesii)",2,"5","25","PAWR, HAFL, WETA, BARO, MGWA, BTPI, YRWA","TRAFFIC, OBSERVER","No","MJO",2,"yes (1,2)",NA,"clear","TRACK 50 AND 51 (6:30am); RTHA NEAR RECORDING SITE (TOWA STOPPED SINGING THEN RESUMED)"
"17","Setophaga townsendi","SRE07M02","5/7/2017","7:18:00 AM","LOON LAKE","49 15.254","124 41.944",375,"Conifer",60,"Douglas Fir (Pseudotsuga menziesii)",3,"5","30","WCSP, SOSP, AMRO, HAFL, WETA",NA,"No",NA,1,"yes",NA,"clear",NA
"18","Setophaga townsendi","SRE07M03","5/7/2017","7:10:00 AM","LOON LAKE","49 15.220","124 41.757",392,"Conifer",70,"Red Cedar (Thuga plicata)",2,"2","15","PUFI, RBSA, WETA, WCSP",NA,"Yes",NA,1,"yes",NA,"clear","TRACK 52?; TERRITORY ADJACENT TO A CLEARCUT"
"19","Setophaga townsendi","SRE07M04","5/7/2017","7:42:00 AM","LOON LAKE","49 15.160","124 41.643",412,"Conifer",75,"Western Hemlock (Tsuga heterophylla)",2,"2","10","PAWR, WETA, SOSP",NA,"No",NA,1,"yes",NA,"clear","TRACK 053; 2ND TOWA SINGING IN DISTANCE"
"20","Setophaga townsendi","SRE07M06","5/7/2017","8:08","LOON LAKE","49 15.165","124 41.551",384,"Conifer",70,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",2,"2","25-Oct","PSFL, AMRO, HAFL, RBSA, PAWR",NA,"No",NA,1,"yes",NA,"clear","TRACK 1010; STARTED CLOSE THEN FLEW TO DIFFERENT PART OF TERRITORY"
"21","Setophaga townsendi","SRE07M07","5/7/2017","8:21:00 AM","LOON LAKE","49 15.144","124 41.462",383,"Conifer",40,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",2,"2","15","MGWA, PISI",NA,"Yes",NA,2,"yes (2)",NA,"clear","TRACKS 54 AND 55; 2ND TOWA IN DISTANCE"
"22","Setophaga townsendi","SRE07M08","5/7/2017","8:20:00 AM","LOON LAKE","49 15.122","124 41.476",380,"Conifer",70,"Douglas Fir (Pseudotsuga menziesii)",3,"3","30","PSFL, MGWA","RIVER","No",NA,1,"yes",NA,"clear","TRACK 1012"
"23","Setophaga townsendi","SRE07M09","5/7/2017","8:40:00 AM","Loon Lake","49 15.117'","124 41.313'",400,"Conifer",85,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",2,"2","15","STJA, HAFL, RBSA",NA,"No",NA,2,"yes (1,2)",NA,"clear","Flew away at end of recording, sings distantly"
"24","Setophaga townsendi","SRE07M10","5/7/2017","4:50:00 PM","Tofino","49 04.104'","125 39.913'",35,"Conifer",65,"Red Cedar (Thuga plicata)",3,"6","15",NA,NA,"Yes","MJO",1,"yes",NA,"clear","Banded on 09 May 2017"
"25","Setophaga townsendi","SRE08M01","5/8/2017","6:35:00 AM","Tofino","49 03.660'","125 40.898",48,"Conifer",90,"Douglas Fir (Pseudotsuga menziesii)",3,"6","25",NA,NA,"Yes",NA,1,"yes",NA,"clear",NA
"26","Setophaga townsendi","SRE08M03","5/8/2017","7:43:00 AM","Tofino","49 03.421","125 40.915'",54,"Conifer",NA,"Red Cedar (Thuga plicata)",2,"6","15","WIWA, HUVI, VATH, CORA",NA,"No",NA,3,"yes (2,3)",NA,"clear",NA
"27","Setophaga townsendi","SRE08M04","5/8/2017","8:27:00 AM","Tofino","49 03.354'","125 40.629'",57,"Conifer",65,"Red Cedar (Thuga plicata)",2,"6","15","HUVI, CORA","Traffic","Yes",NA,2,"yes (1,2)",NA,"clear",NA
"28","Setophaga townsendi","SRE08M05","5/8/2017","9:03:00 AM","TOFINO","49 03.163","125 40.513",51,"Conifer",NA,"Red Cedar (Thuga plicata)",2,"5","10","CORA, HETH, PAWR, AMRO",NA,"No",NA,1,"yes",NA,"clear","TRACK 61"
"29","Setophaga townsendi","SRE08M07","5/8/2017","10:50:00 AM","Tofino","49 03.372'","125 40.419'",46,"Conifer",70,"Red Cedar (Thuga plicata)",2,"6","25","HUVI, GCKI",NA,"No",NA,1,"maybe",NA,"clear","2 TOWA singing in the background"
"30","Setophaga townsendi","SRE08M08","5/8/2017","11:00:00 AM","Tofino","49 03.409'","125 40.434'",30,"Conifer",50,"Red Cedar (Thuga plicata)",2,"6","15-30","HUVI",NA,"No",NA,1,"maybe",NA,"clear",NA
"31","Setophaga townsendi","SRE08M09","5/8/2017","11:12:00 AM","Tofino","49 03.604'","125 40.433'",48,"Conifer",60,"Douglas Fir (Pseudotsuga menziesii)",3,"6","15",NA,NA,"No",NA,1,"yes",NA,"clear","TOWA (SRE08M10) singing in distance"
"32","Setophaga townsendi","SRE08M11","5/8/2017","11:30:00 AM","Tofino","49 03.739","125 40.326",40,"Conifer",80,"Sitka Spruce (Picea sitchensis)",2,"4","20","OCWA, YRWA",NA,"No",NA,1,"yes",NA,"clear","another TOWA in distance (possibly 2)"
"33","Setophaga townsendi","SRE08M12","5/8/2017","11:46:00 AM","Tofino","49 03.839","125 40.096",50,"Conifer",NA,"Red Cedar (Thuga plicata)",3,"6","10","WIWA, HETH",NA,"Yes",NA,2,"yes (1,2)",NA,"clear","caught on 09 May 2017"
"34","Setophaga townsendi","SRE09M02","5/9/2017","7:48:00 AM","Tofino","49 03.977'","125 39.999'",35,"Conifer",70,"Red Cedar (Thuga plicata)",3,"5","20","GCKI, PAWR","MJO","No",NA,1,"yes",NA,"buzzy","Bird was flying around his territory while singing a buzzy song"
"35","Setophaga townsendi","SRE09M03","5/9/2017","10:05:00 AM","Pacific Rim Park - Long Beach","49 04.237","125 45.282",7,"Conifer",40,"Sitka Spruce (Picea sitchensis)",3,"6","10","RECR","MJO","No","MJO",1,"yes",NA,"clear",NA
"36","Setophaga townsendi","SRE10M03","5/10/2017","6:43:00 AM","McIvor Lake Park, Campbell River","50 01.108'","125 22.588'",214,"Conifer",80,"Western Hemlock (Tsuga heterophylla)",1,"1","5",NA,NA,"Yes",NA,1,"yes",NA,"clear",NA
"37","Setophaga townsendi","SRE10M04","5/10/2017","7:35:00 AM","McIvor Lake Park, Campbell River","50 01.106'","125 22.727'",190,"Conifer",70,"Douglas Fir (Pseudotsuga menziesii)",1,"4","20","SPTO",NA,"Yes","MJO",3,"yes (1,2,3)",NA,"clear","lots of variability in song. Fighting with SRE10M05"
"38","Setophaga townsendi","SRE10M05","5/10/2017","7:50:00 AM","McIvor Lake Park, Campbell River","50 01.108'","125 22.700'",196,"Conifer",70,"Douglas Fir (Pseudotsuga menziesii)",1,"4","20","MGWA",NA,"No",NA,2,"yes (1,2)",NA,"clear","Fighting with SRE10M04. Aggressive chips, odd song."
"39","Setophaga townsendi","SRE10M08","5/10/2017","9:10:00 AM","McIvor Lake Park, Campbell River","50 00.908","125 23.103'",215,"Conifer",60,"Douglas Fir (Pseudotsuga menziesii)",3,"6","25","RBNU, HAFL",NA,"No",NA,2,"yes (1)",NA,"clear","another TOWA in distance"
"40","Setophaga townsendi","SRE10M10","5/10/2017","9:28:00 AM","McIvor Lake Park, Campbell River","50 00.883'","125 23.120'",218,"Conifer",50,"Douglas Fir (Pseudotsuga menziesii)",2,"6","25","HAFL, DEJU, BAEA, CORA",NA,"No","MJO",1,"yes",NA,"clear","Bird was close then moved further away. Presumed to be TOWA in background of SRE10M08"
"41","Setophaga townsendi","SRE10M13","5/10/2017","10:30:00 AM","Campbell River","49 59.889'","125 22.770'",194,"Conifer",NA,"Douglas Fir (Pseudotsuga menziesii)",2,"5","15","SOSP, AMRO, COYE, WAVI, SPTO, OCWA","Traffic","No",NA,1,"yes",NA,"clear","TOWA close then flew to further distance"
"42","Setophaga townsendi","SRE10M14","5/10/2017","10:54:00 AM","Forest Service Rd, Campbell River","49 59.094'","125 25.989'",230,"Conifer",60,"Douglas Fir (Pseudotsuga menziesii)",3,"3","20","DEJU, MGWA, RUHU","Traffic","No",NA,1,"",NA,"clear","neighbors in background"
"43","Setophaga townsendi","SRE10M15","5/10/2017","11:05","Forest Service Rd, Campbell River","49 59.086'","125 25.982'",221,"Conifer",80,"Douglas Fir (Pseudotsuga menziesii)",3,"1","5",NA,"Traffic","No","LM",1,"maybe (1)",NA,"clear","sang only in first few minutes"
"44","Setophaga townsendi","SRE10M16","5/10/2017","11:15:00 AM","Forest Service Rd, Campbell Lake","49 54.077'","125 26.024",235,"Conifer",NA,"Douglas Fir (Pseudotsuga menziesii)",3,"4","20",NA,"Traffic","No","LM",1,"maybe",NA,"clear",NA
"45","Setophaga townsendi","SRE17M03","5/17/2017","8:20","Silver Skagit Rd","49 18.402","121 24.334",390,"Mixed Conifer and Hardwood",40,"Red Alder",3,"6","10","EVGR, NOFL, CAVI, WIWA, SOGR",NA,"N","MJO",3,"yes (1,2,3)",NA,"b/c","saw at least 2 males and 2 females, singing and feeding from an Alder. Probably a flock on migration?"
"46","Setophaga townsendi","SRE17M04","5/17/2017","8:48","Silver Skagit Rd","49 18.208","121 24.028",378,"Mixed Conifer and Hardwood",50,"Red Cedar, Red Alder",2,"5","20","BTYW",NA,"N","MJO",1,"maybe",NA,"clear",NA
"47","Setophaga townsendi","SRE17M05","5/17/2017","9:05","Silver Skagit Rd","49 17.808","121 23.964",366,"Mixed Conifer and Hardwood",75,"Red Cedar",2,"4","15","AMRO, CAVI, WAVI, BTYW",NA,"N","MJO",1,"yes",NA,"clear",NA
"48","Setophaga townsendi","SRE17M07","5/17/2017","9:55","Silver Skagit Rd","49 13.017","121 22.979",494,"Conifer",80,"Red Cedar",3,"4","5","BTYW, PISI","River","N","MJO",1,"yes",NA,"clear",NA
"49","Setophaga townsendi","SRE17M08","5/17/2017","10:17","Silver Skagit Rd","49 12.880","121 23.312",534,"Conifer",60,"Douglas Fir, Red Cedar",2,"3","25","HAFL, BTYW","River, Plane","N","MJO",2,"yes (1,2)",NA,"clear",NA
"50","Setophaga townsendi","SRE17M09","5/17/2017","10:35","Silver Skagit Rd","49 13.085","121 22.465",461,"Conifer",80,"Douglas Fir",2,"4","15","PISI, YRWA, BTYW, HAFL",NA,"N","MJO",1,"yes",NA,"clear",NA
"51","Setophaga townsendi","SRE18M01","5/18/2017","8:20","Sumallo FS Rd, Sunshine Valley","49 13.567","121 14.081",884,"Conifer",90,"Douglas Fir",2,"2","10",NA,"River","N","MJO",1,"yes",NA,"buzzy","buzzy song"
"52","Setophaga townsendi","SRE18M02","5/18/2017","9:00","Sumallo FS Rd, Sunshine Valley","49 13.325","121 14.121",906,"Conifer",NA,"Douglas Fir",3,"3","20",NA,"stream","Y","LIMM",1,"yes",NA,"clear","in open spot, dense trees around"
"53","Setophaga townsendi","SRE18M03","5/18/2017","9:15","Sumallo FS Rd, Sunshine Valley","49 13.386","121 14.122",900,"Conifer",95,"Douglas Fir",3,"2","10","YRWA, SWTH","River","N","MJO",1,"yes",NA,"clear",NA
"54","Setophaga townsendi","SRE18M04","5/18/2017","10:30","Sumallo FS Rd, Sunshine Valley","49 13.877","121 14.006",901,"Conifer",70,"Douglas Fir",3,"2","15","PISI","River, wind","N",NA,1,"yes",NA,"clear",NA
"55","Setophaga townsendi","SRE19M01","5/19/2017","6:10:00 AM","MCKINNEY FSR -BRIDESVILLE","49 05.741","119 07.718",1124,"Conifer",50,"Western larch (Larix occidentalis)",2,"2","5","BCCH, PISI",NA,"No","MJO",2,"yes (2)",NA,"clear","FEMALE TOWA NEARBY; TRACK 660"
"56","Setophaga townsendi","SRE19M02","5/19/2017","8:30:00 AM","FISH LAKE W. RD. -BRIDESVILLE","49 07.008","119 09.213",1199,"Conifer",70,"Douglas Fir (Pseudotsuga menziesii)",2,"2","10","BCCH","RIVER","Yes","MJO",2,"yes (1,2)",NA,"clear","OTHER SIDE OF ROAD IS CLEAR CUT; TRACK 1003"
"57","Setophaga townsendi","SRE19M03","5/19/2017","9:39:00 AM","FISH LAKE WEST RD - BRIDESVILLE","49 06.640","119 08.773",1142,"Conifer",40,"Douglas Fir (Pseudotsuga menziesii)",3,"3","10","BCCH, LISP, WAVI, DEJU","RIVER","No",NA,2,"yes(1,2)",NA,"clear",NA
"58","Setophaga townsendi","SRE19M04","5/19/2017","10:40:00 AM","STANHOPE CREEK FSR -BRIDESVILLE","49 06.775","119 08.651",1141,"Conifer",40,"Douglas Fir(Pseudotsuga menziesii), Western larch (Larix occidentalis)",2,"4","5","RBNU, HAFL, RCKI",NA,"Yes","LM",1,"yes",NA,"clear",NA
"59","Setophaga townsendi","SRE20M01","5/20/2017","6:30:00 AM","STANDHOPE CR. FSR - BRIDESVILLE","49 07.766","119 08.363",1145,"Conifer",40,"Western larch (Larix occidentalis)",2,"3","10","YRWA","RIVER","Yes","MJO",1,"yes",NA,"clear","FIGHTING WITH SRE20M02 OVER TERRITORY BOUNDARY"
"60","Setophaga townsendi","SRE20M02","5/20/2017","6:40:00 AM","STANDHOPE CR. FSR - BRIDESVILLE","49 07.737","119 08.349",1142,"Conifer",40,"Western larch (Larix occidentalis)",2,"3","15","YRWA","RIVER","Yes","MJO",2,"yes (1)",NA,"clear","FIGHTING WITH SRE20M01 OVER TERRITORY BOUNDARY"
"61","Setophaga townsendi","SRE20M03","5/20/2017","8:30:00 AM","MT.BALDY SKI HILL RD - BRIDESVILLE","49 06.222","119 10.276",1236,"Conifer",70,"Western larch (Larix occidentalis)",2,"1","20","TOSO, YRWA","STREAM, SQUIRRELS","No","LM",2,"yes (1,2)",NA,"clear","RECORDER SAYS FISH LAKE ROAD and 8:20 TIME"
"62","Setophaga townsendi","SRE20M04","5/20/2017","8:46:00 AM","MT. BALDY SKI HILL RD. - BRIDESVILLE","49 06.568","119 10.815",1289,"Conifer",50,"Douglas Fir (Pseudotsuga menziesii), Western larch (Larix occidentalis)",3,"2","10",NA,"STREAM","No","MJO",1,"yes",NA,"clear",NA
"63","Setophaga townsendi","SRE20M05","5/20/2017","10:00:00 AM","MT. BALDY SKI HILL RD. - BRIDESVILLE","49 06.913","119 11.899",1355,"Conifer",70,"Douglas Fir (Pseudotsuga menziesii), Western larch (Larix occidentalis)",3,"5","15","RBNU, RCKI","squirrel","No","MJO",1,"yes",NA,"clear",NA
"64","Setophaga townsendi","SRE21M01","5/21/2017","5:18:00 AM","Merry Creek FSR, Castlegar","49 17.556","117 40.791",795,"Conifer",80,"Red Cedar (Thuga plicata)",3,"2","15",NA,"squirrels","No","LM",2,"yes (1,2)",NA,"b/c","Another TOWA nearby, responding to one another. Recording says Grand Forks, but actually in Castlegar"
"65","Setophaga townsendi","SRE21M02","5/21/2017","6:20:00 AM","Merry Creek Trail, Castlegar","49 17.885","117 41.004",812,"Conifer",95,"Western Hemlock (Tsuga heterophylla)",2,"1","20",NA,"squirrel, stream","Yes","MJO",2,"yes (1,2)",NA,"buzzy",NA
"66","Setophaga townsendi","SRE21M03","5/21/2017","7:30:00 AM","Merry Creek Trail, Castlegar","49 18.042","117 41.127",809,"Conifer",80,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",3,"3","5","MGWA, PAWR","squirrel, stream","Yes","MJO",3,"yes (1,2,3)",NA,"b/c","one buzzy song"
"67","Setophaga townsendi","SRE21M04","5/21/2017","8:20:00 AM","Big Cedar Trail, Castlegar","49 18.245","117 41.236",827,"Conifer",90,"Western Hemlock (Tsuga heterophylla)",3,"3","10",NA,NA,"Yes","MJO",2,"yes (1,2)",NA,"clear","1st rec: short recording, no notes spoken in recording. 2nd: taken after banding"
"68","Setophaga townsendi","SRE21M05","5/21/2017","10:20:00 AM","Big Cedar Trail, Castlegar","49 18.449","117 41.321",844,"Conifer",85,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",3,"3","20-May","PAWR, GCKI",NA,"No","LM",1,"yes",NA,"clear",NA
"69","Setophaga townsendi","SRE21M06","5/21/2017","10:40:00 AM","Big Cedar Trail, Castlegar","49 18.159","117 41.191",824,"Conifer",80,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",2,"4","10",NA,NA,"No","LM",1,"yes",NA,"clear",NA
"70","Setophaga townsendi","SRE22M01","5/22/2017","7:50:00 AM","Clearwater Creek FS rd, Nelson","49 23.404","117 10.565",1101,"Conifer",100,"Red Cedar (Thuga plicata)",2,"3","25","PISI","river","Yes","MJO",3,"yes (1,2,3)",NA,"clear","Very dense forest"
"71","Setophaga townsendi","SRE22M02","5/22/2017","8:55:00 AM","Clearwater Creek FS rd, Nelson","49 23.482","117 10.847",1068,"Conifer",90,"Red Cedar (Thuga plicata)",2,"3","10",NA,NA,"No","MJO",1,"yes",NA,"clear","
"
"72","Setophaga townsendi","SRE22M03","5/22/2017","10:05:00 AM","Clearwater Creek FS rd, Nelson","49 24.211","117 12.160",964,"Conifer",50,"Red Cedar (Thuga plicata)",2,"4","15","PAWR","traffic","No","LM",1,"yes",NA,"clear",NA
"73","Setophaga townsendi","SRE22M04","5/22/2017","10:40:00 AM","Giveout Creek Rd, Nelson","49 26.426","117 16.026",971,"Conifer",NA,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",NA,NA,"15",NA,"stream","No","LM",1,"yes",NA,"clear","thick growth of young trees, unable to get into forest"
"74","Setophaga townsendi","SRE24M01","5/24/2017","7:15:00 AM","Fassifern FS rd, Cranbrook","49 29.641","115 51.924",1204,"Mixed Conifer/Hardwood",70,"Sitka Spruce (Picea sitchensis)",3,"6","15","RCKI","wind, stream","Yes","MJO",1,"yes",NA,"clear",NA
"75","Setophaga townsendi","SRE24M02","5/24/2017","8:00:00 AM","Fassifern FS rd, Cranbrook","49 30.633","115 52.233",1305,"Conifer",60,"Douglas Fir (Pseudotsuga menziesii)",1,"3","15","PAWR","wind, cracking of trees","No","LM",3,"yes (1,2,3)",NA,"clear","infrequent singing. When banding, 2 more TOWA seen, fighting with SRE24M02"
"76","Setophaga townsendi","SRE24M03","5/24/2017","9:35:00 AM","Fassifern FS rd, Cranbrook","49 30.689","115 53.188",1405,"Conifer",60,"Douglas Fir (Pseudotsuga menziesii)",2,"5","10","DEJU, RCKI, WETA","Squirrel","No","MJO",2,"yes (1,2)",NA,"clear","female nearby, foraging low. song and call notes"
"77","Setophaga townsendi","SRE25M01","5/24/2017","6:04:00 AM","Fassifern FS rd, Cranbrook","49 30.341","115 52.407",1325,"Conifer",75,"Douglas Fir (Pseudotsuga menziesii)",2,"3","10","RCKI, HETH",NA,"Yes","MJO",1,"yes",NA,"clear",NA
"78","Setophaga townsendi","SRE25M02","5/25/2017","8:10","Fassifern FSR, Cranbrook","49 30.617'","115 53.137'",1408,"Conifer",40,"Douglas Fir",3,"3, 5","10",NA,NA,"N","MJO",2,"yes (1,2)",NA,"b/c","clear rec 1, buzzy rec 2"
"79","Setophaga townsendi","SRE25M03","5/25/2017","9:10","Fassifern FSR, Cranbrook","49 30.445'","115 53.130'",1394,"Conifer",70,"Douglas Fir",2,"3","15","PAWR","stream","N","MJO",2,"yes (1,2)",NA,"clear",NA
"80","Setophaga townsendi","SRE25M04","5/25/2017","9:30","Fassifern FSR, Cranbrook","49 30.293'","115 52.335'",1320,"Conifer",60,"Western Larch",2,"5","10","CORA, WETA, RCKI",NA,"Y","MJO",1,"yes",NA,"clear","can hear SRE25M01 in distance"
"81","Setophaga townsendi","SRE26M01","5/26/2017","6:30","Wilson Lake FSR, Nakusp","50 14.649'","117 40.967'",1043,"Conifer",95,"Western Hemlock",2,"2","15","GCKI",NA,"N","MJO",1,"yes",NA,"clear",NA
"82","Setophaga townsendi","SRE26M02","5/26/2017","7:05","Wilson Lake FSR, Nakusp","50 14.471'","117 40.514'",1009,"Conifer",90,"Western Hemlock",2,"5","15","PISI",NA,"Y","MJO",1,"yes",NA,"clear",NA
"83","Setophaga townsendi","SRE26M03","5/26/2017","8:00","Wilson Lake FSR, Nakusp","50 14.527'","117 40.265'",1008,"Conifer",80,"Western Hemlock",2,"3","20","VATH, CAVI","stream","Y","MJO",2,"yes (1,2)",NA,"clear",NA
"84","Setophaga townsendi","SRE26M04","5/26/2017","9:00","Wilson Lake FSR, Nakusp","50 14.435'","117 40.021'",1015,"Conifer",NA,"Western Hemlock",2,"2","10-30'","CAVI, YEWA","stream","Y","MJO",3,"yes (3)",NA,"clear",NA
"85","Setophaga townsendi","SRE26M05","5/26/2017","10:00","Wilson Lake FSR, Nakusp","50 14.692'","117 39.783'",1030,"Conifer",NA,"Red Cedar",2,"3","15",NA,"creek","Y","MJO",1,"maybe",NA,"clear",NA
"86","Setophaga townsendi","SRE28M01","5/28/2017","7:00","Spahats FSR, Clearwater","51 04.592","119 59.881",858,"Conifer",80,"Red Cedar",3,"5","15",NA,NA,"Y","MJO",2,"yes (1,2)",NA,"clear",NA
"87","Setophaga townsendi","SRE28M02","5/28/2017","8:00","Spahats FSR, Clearwater","51 44.361","119 59.263",NA,"Conifer",85,"Red Cedar",3,"5","15",NA,NA,"Y","LIMM",1,"yes",NA,"clear",NA
"88","Setophaga townsendi","SRE28M03","5/28/2017","8:15","Spahats FSR, Clearwater","51 44.339","119 59.149",932,"Conifer",85,"Red Cedar",3,"5","15",NA,NA,"Y","LIMM",1,"yes",NA,"clear",NA
