Species,Song.ID,Date..MDY.,Time,Locality,GPS.coordinate.N,GPS.coordinate.W,Elevation..m.,Habitat.Type,X..Canopy.Cover,Dominant.Species,Tree.Size.Class,Understory.code,Est.dist.from.recorder,Background.species,Disturbance.in.recording.,Stimulus,Banded,Recorder.Initials,Notes
Setophaga townsendi,SRE07M07,5/7/2017,8:21:00 AM,LOON LAKE,49 15.144,124 41.462,383,Conifer,40,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",2,2,15,"MGWA, PISI",NA,Natural,Yes,NA,TRACKS 54 AND 55; 2ND TOWA IN DISTANCE
Setophaga townsendi,SRE07M08,5/7/2017,8:20:00 AM,LOON LAKE,49 15.122,124 41.476,380,Conifer,70,Douglas Fir (Pseudotsuga menziesii),3,3,30,"PSFL, MGWA",RIVER,Natural,No,NA,TRACK 1012
Setophaga townsendi,SRE07M09,5/7/2017,8:40:00 AM,Loon Lake,49 15.117',124 41.313',400,Conifer,85,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",2,2,15,"STJA, HAFL, RBSA",NA,Natural,No,NA,"Flew away at end of recording, sings distantly"
Setophaga townsendi,SRE07M10,5/7/2017,4:50:00 PM,Tofino,49 04.104',125 39.913',35,Conifer,65,Red Cedar (Thuga plicata),3,6,15,NA,NA,Natural,Yes,MJO,Banded on 09 May 2017
Setophaga townsendi,SRE08M01,5/8/2017,6:35:00 AM,Tofino,49 03.660',125 40.898,48,Conifer,90,Douglas Fir (Pseudotsuga menziesii),3,6,25,NA,NA,Natural,Yes,NA,NA
Setophaga townsendi,SRE08M02,5/8/2017,7:10:00 AM,Tofino,49 03.523',125 40.892,44,Conifer,NA,Red Cedar (Thuga plicata),2,6,45,"WIWA, CORA, HUVI",NA,Natural,No,NA,NA
Setophaga townsendi,SRE08M03,5/8/2017,7:43:00 AM,Tofino,49 03.421,125 40.915',54,Conifer,NA,Red Cedar (Thuga plicata),2,6,15,"WIWA, HUVI, VATH, CORA",NA,Natural,No,NA,NA
Setophaga townsendi,SRE08M04,5/8/2017,8:27:00 AM,Tofino,49 03.354',125 40.629',57,Conifer,65,Red Cedar (Thuga plicata),2,6,15,"HUVI, CORA",Traffic,Natural,Yes,NA,NA
Setophaga townsendi,SRE08M05,5/8/2017,9:03:00 AM,TOFINO,49 03.163,125 40.513,51,Conifer,NA,Red Cedar (Thuga plicata),2,5,10,"CORA, HETH, PAWR, AMRO",NA,Natural,No,NA,TRACK 61
Setophaga townsendi,SRE08M06,5/8/2017,9:08:00 AM,TOFINO,49 03.233,125 40.513,66,Conifer,80,Red Cedar (Thuga plicata),3,5,20,PAWR,NA,Natural,Yes,NA,TRACKS 1020 AND 1021; GPS WAYPOINT 007
Setophaga townsendi,SRE08M07,5/8/2017,10:50:00 AM,Tofino,49 03.372',125 40.419',46,Conifer,70,Red Cedar (Thuga plicata),2,6,25,"HUVI, GCKI",NA,Natural,No,NA,2 TOWA singing in the background
Setophaga townsendi,SRE08M08,5/8/2017,11:00:00 AM,Tofino,49 03.409',125 40.434',30,Conifer,50,Red Cedar (Thuga plicata),2,6,15-30,HUVI,NA,Natural,No,NA,NA
Setophaga townsendi,SRE08M09,5/8/2017,11:12:00 AM,Tofino,49 03.604',125 40.433',48,Conifer,60,Douglas Fir (Pseudotsuga menziesii),3,6,15,NA,NA,Natural,No,NA,TOWA (SRE08M10) singing in distance
Setophaga townsendi,SRE08M10,5/8/2017,11:25:00 AM,Tofino,49 03.728',125 40.386,64,Conifer,60,Sitka Spruce (Picea sitchensis),2,4,30,NA,Chainsaw,Natural,No,NA,NA
Setophaga townsendi,SRE08M11,5/8/2017,11:30:00 AM,Tofino,49 03.739,125 40.326,40,Conifer,80,Sitka Spruce (Picea sitchensis),2,4,20,"OCWA, YRWA",NA,Natural,No,NA,another TOWA in distance (possibly 2)
Setophaga townsendi,SRE08M12,5/8/2017,11:46:00 AM,Tofino,49 03.839,125 40.096,50,Conifer,NA,Red Cedar (Thuga plicata),3,6,10,"WIWA, HETH",NA,Natural,Yes,NA,caught on 09 May 2017
Setophaga townsendi,SRE09M01,5/9/2017,7:10:00 AM,Tofino,49 03.802',125 40.212,38,Conifer,40,Sitka Spruce (Picea sitchensis),NA,NA,15,NA,NA,Natural,Yes,NA,1 of 3 TOWA nearby
Setophaga townsendi,SRE09M02,5/9/2017,7:48:00 AM,Tofino,49 03.977',125 39.999',35,Conifer,70,Red Cedar (Thuga plicata),3,5,20,"GCKI, PAWR",MJO,Natural,No,NA,Bird was flying around his territory while singing a buzzy song
Setophaga townsendi,SRE09M03,5/9/2017,10:05:00 AM,Pacific Rim Park - Long Beach,49 04.237,125 45.282,7,Conifer,40,Sitka Spruce (Picea sitchensis),3,6,10,RECR,MJO,Natural,No,MJO,NA
Setophaga townsendi,SRE09M04,5/9/2017,10:10:00 AM,Pacific Rim Park- Long Beach,49 04.242',125 45.254',17,Hardwood,40,Red Alder (Alnus rubra),2,6,30,NA,traffic,Natural,No,MJO,singing on a lone conifer (Douglas Fir) in a hardwood patch
Setophaga townsendi,SRE10M01,5/10/2017,5:50:00 AM,"McIvor Lake Park, Campbell River",50 00.884',125 21.947,205,Conifer,60,Douglas Fir (Pseudotsuga menziesii),2,6,15,"YRWA, DEJU, CORA, WCSP",NA,Natural,No,NA,NA
Setophaga townsendi,SRE10M02,5/10/2017,6:35:00 AM,"McIvor Lake Park, Campbell River",50 00.995',125 22.396',189,Conifer,60,Douglas Fir (Pseudotsuga menziesii),3,6,15-35,"CORA, DEJU, YRWA",Helicopter,Natural,No,NA,3 TOWA chasing each other
Setophaga townsendi,SRE10M03,5/10/2017,6:43:00 AM,"McIvor Lake Park, Campbell River",50 01.108',125 22.588',214,Conifer,80,Western Hemlock (Tsuga heterophylla),1,1,5,NA,NA,Natural,Yes,NA,NA
Setophaga townsendi,SRE10M04,5/10/2017,7:35:00 AM,"McIvor Lake Park, Campbell River",50 01.106',125 22.727',190,Conifer,70,Douglas Fir (Pseudotsuga menziesii),1,4,20,SPTO,NA,Natural,Yes,MJO,lots of variability in song. Fighting with SRE10M05
Setophaga townsendi,SRE10M05,5/10/2017,7:50:00 AM,"McIvor Lake Park, Campbell River",50 01.108',125 22.700',196,Conifer,70,Douglas Fir (Pseudotsuga menziesii),1,4,20,MGWA,NA,Natural,No,NA,"Fighting with SRE10M04. Aggressive chips, odd song."
Setophaga townsendi,SRE10M06,5/10/2017,8:43:00 AM,"McIvor Lake Park, Campbell River",50 00.963',125 22.710',185,Conifer,60,Douglas Fir (Pseudotsuga menziesii),1,6,20,"CORA, NWCR, DEJU, NRWS",NA,Natural,No,EM,NA
Setophaga townsendi,SRE10M07,5/10/2017,9:00:00 AM,"McIvor Lake Park, Campbell River",50 01.028',125 22.907',215,Conifer,50,Douglas Fir (Pseudotsuga menziesii),2,6,NA,"CORA, DEJU",NA,Natural,No,NA,NA
Setophaga townsendi,SRE10M08,5/10/2017,9:10:00 AM,"McIvor Lake Park, Campbell River",50 00.908,125 23.103',215,Conifer,60,Douglas Fir (Pseudotsuga menziesii),3,6,25,"RBNU, HAFL",NA,Natural,No,NA,another TOWA in distance
Setophaga townsendi,SRE10M09,5/10/2017,9:23:00 AM,"McIvor Lake Park, Campbell River",50 00.804',125 23.137',210,Conifer,60,Douglas Fir (Pseudotsuga menziesii),2,6,20,HAFL,squirrel,Natural,No,NA,includes call notes
Setophaga townsendi,SRE10M10,5/10/2017,9:28:00 AM,"McIvor Lake Park, Campbell River",50 00.883',125 23.120',218,Conifer,50,Douglas Fir (Pseudotsuga menziesii),2,6,25,"HAFL, DEJU, BAEA, CORA",NA,Natural,No,MJO,Bird was close then moved further away. Presumed to be TOWA in background of SRE10M08
Setophaga townsendi,SRE10M11,5/10/2017,9:40:00 AM,"McIvor Lake Park, Campbell River",50 00.889',125 23.068',217,Conifer,50,Douglas Fir (Pseudotsuga menziesii),2,6,30,NA,Chainsaw,Natural,No,NA,Clear song individual singing in the background
Setophaga townsendi,SRE10M12,5/10/2017,9:40:00 AM,"McIvor Lake Park, Campbell River",50 00.974',125 022.919',209,Conifer,NA,Douglas Fir (Pseudotsuga menziesii),1,5,15-25,"HAWO, CORA",NA,Natural,No,NA,NA
Setophaga townsendi,SRE10M13,5/10/2017,10:30:00 AM,Campbell River,49 59.889',125 22.770',194,Conifer,NA,Douglas Fir (Pseudotsuga menziesii),2,5,15,"SOSP, AMRO, COYE, WAVI, SPTO, OCWA",Traffic,Natural,No,NA,TOWA close then flew to further distance
Setophaga townsendi,SRE10M14,5/10/2017,10:54:00 AM,"Forest Service Rd, Campbell River",49 59.094',125 25.989',230,Conifer,60,Douglas Fir (Pseudotsuga menziesii),3,3,20,"DEJU, MGWA, RUHU",Traffic,Natural,No,NA,neighbors in background
Setophaga townsendi,SRE10M15,5/10/2017,11:05,"Forest Service Rd, Campbell River",49 59.086',125 25.982',221,Conifer,80,Douglas Fir (Pseudotsuga menziesii),3,1,5,NA,Traffic,Natural,No,LM,sang only in first few minutes
Setophaga townsendi,SRE10M16,5/10/2017,11:15:00 AM,"Forest Service Rd, Campbell Lake",49 54.077',125 26.024,235,Conifer,NA,Douglas Fir (Pseudotsuga menziesii),3,4,20,NA,Traffic,Natural,No,LM,NA
Setophaga townsendi,SRE10M17,5/10/2017,11:12:00 AM,Campbell River,49 59.077',125 26.162,230,Conifer,NA,Douglas Fir (Pseudotsuga menziesii),2,4,30,"DEJU, MGWA",Traffic,Natural,No,NA,Territory beside a clearcut. 1 distant TOWA
Setophaga townsendi,SRE19M01,5/19/2017,6:10:00 AM,MCKINNEY FSR -BRIDESVILLE,49 05.741,119 07.718,1124,Conifer,50,Western larch (Larix occidentalis),2,2,5,"BCCH, PISI",NA,Natural,No,MJO,FEMALE TOWA NEARBY; TRACK 660
Setophaga townsendi,SRE19M02,5/19/2017,8:30:00 AM,FISH LAKE W. RD. -BRIDESVILLE,49 07.008,119 09.213,1199,Conifer,70,Douglas Fir (Pseudotsuga menziesii),2,2,10,BCCH,RIVER,Natural,Yes,MJO,OTHER SIDE OF ROAD IS CLEAR CUT; TRACK 1003
Setophaga townsendi,SRE19M03,5/19/2017,9:39:00 AM,FISH LAKE WEST RD - BRIDESVILLE,49 06.640,119 08.773,1142,Conifer,40,Douglas Fir (Pseudotsuga menziesii),3,3,10,"BCCH, LISP, WAVI, DEJU",RIVER,Natural,No,NA,NA
Setophaga townsendi,SRE19M04,5/19/2017,10:40:00 AM,STANHOPE CREEK FSR -BRIDESVILLE,49 06.775,119 08.651,1141,Conifer,40,"Douglas Fir(Pseudotsuga menziesii), Western larch (Larix occidentalis)",2,4,5,"RBNU, HAFL, RCKI",NA,Natural,Yes,LM,NA
Setophaga townsendi,SRE20M01,5/20/2017,6:30:00 AM,STANDHOPE CR. FSR - BRIDESVILLE,49 07.766,119 08.363,1145,Conifer,40,Western larch (Larix occidentalis),2,3,10,YRWA,RIVER,Natural,Yes,MJO,FIGHTING WITH SRE20M02 OVER TERRITORY BOUNDARY
Setophaga townsendi,SRE20M02,5/20/2017,6:40:00 AM,STANDHOPE CR. FSR - BRIDESVILLE,49 07.737,119 08.349,1142,Conifer,40,Western larch (Larix occidentalis),2,3,15,YRWA,RIVER,Natural,Yes,MJO,FIGHTING WITH SRE20M01 OVER TERRITORY BOUNDARY
Setophaga townsendi,SRE20M03,5/20/2017,8:30:00 AM,MT.BALDY SKI HILL RD - BRIDESVILLE,49 06.222,119 10.276,1236,Conifer,70,Western larch (Larix occidentalis),2,1,20,"TOSO, YRWA","STREAM, SQUIRRELS",Natural,No,LM,RECORDER SAYS FISH LAKE ROAD and 8:20 TIME
Setophaga townsendi,SRE20M04,5/20/2017,8:46:00 AM,MT. BALDY SKI HILL RD. - BRIDESVILLE,49 06.568,119 10.815,1289,Conifer,50,"Douglas Fir (Pseudotsuga menziesii), Western larch (Larix occidentalis)",3,2,10,NA,STREAM,Natural,No,MJO,NA
Setophaga townsendi,SRE20M05,5/20/2017,10:00:00 AM,MT. BALDY SKI HILL RD. - BRIDESVILLE,49 06.913,119 11.899,1355,Conifer,70,"Douglas Fir (Pseudotsuga menziesii), Western larch (Larix occidentalis)",3,5,15,"RBNU, RCKI",squirrel,Natural,No,MJO,NA
Setophaga townsendi,SRE21M01,5/21/2017,5:18:00 AM,"Merry Creek FSR, Castlegar",49 17.556,117 40.791,795,Conifer,80,Red Cedar (Thuga plicata),3,2,15,NA,squirrels,Natural,No,LM,"Another TOWA nearby, responding to one another. Recording says Grand Forks, but actually in Castlegar"
Setophaga townsendi,SRE21M02,5/21/2017,6:20:00 AM,"Merry Creek Trail, Castlegar",49 17.885,117 41.004,812,Conifer,95,Western Hemlock (Tsuga heterophylla),2,1,20,NA,"squirrel, stream",Natural,Yes,MJO,NA
Setophaga townsendi,SRE21M03,5/21/2017,7:30:00 AM,"Merry Creek Trail, Castlegar",49 18.042,117 41.127,809,Conifer,80,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",3,3,5,"MGWA, PAWR","squirrel, stream",Natural,Yes,MJO,NA
Setophaga townsendi,SRE21M04,5/21/2017,8:20:00 AM,"Big Cedar Trail, Castlegar",49 18.245,117 41.236,827,Conifer,90,Western Hemlock (Tsuga heterophylla),3,3,10,NA,NA,Natural,Yes,MJO,"1st rec: short recording, no notes spoken in recording. 2nd: taken after banding"
Setophaga townsendi,SRE21M05,5/21/2017,10:20:00 AM,"Big Cedar Trail, Castlegar",49 18.449,117 41.321,844,Conifer,85,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",3,3,5-20,"PAWR, GCKI",NA,Natural,No,LM,NA
Setophaga townsendi,SRE21M06,5/21/2017,10:40:00 AM,"Big Cedar Trail, Castlegar",49 18.159,117 41.191,824,Conifer,80,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",2,4,10,NA,NA,Natural,No,LM,NA
Setophaga townsendi,SRE22M01,5/22/2017,7:50:00 AM,"Clearwater Creek FS rd, Nelson",49 23.404,117 10.565,1101,Conifer,100,Red Cedar (Thuga plicata),2,3,25,PISI,river,Natural,Yes,MJO,Very dense forest
Setophaga townsendi,SRE22M02,5/22/2017,8:55:00 AM,"Clearwater Creek FS rd, Nelson",49 23.482,117 10.847,1068,Conifer,90,Red Cedar (Thuga plicata),2,3,10,NA,NA,Natural,No,MJO,"
"
Setophaga townsendi,SRE22M03,5/22/2017,10:05:00 AM,"Clearwater Creek FS rd, Nelson",49 24.211,117 12.160,964,Conifer,50,Red Cedar (Thuga plicata),2,4,15,PAWR,traffic,Natural,No,LM,NA
Setophaga townsendi,SRE22M04,5/22/2017,10:40:00 AM,"Giveout Creek Rd, Nelson",49 26.426,117 16.026,971,Conifer,NA,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",NA,NA,15,NA,stream,Natural,No,LM,"thick growth of young trees, unable to get into forest"
Setophaga townsendi,SRE24M01,5/24/2017,7:15:00 AM,"Fassifern FS rd, Cranbrook",49 29.641,115 51.924,1204,Mixed Conifer/Hardwood,70,Sitka Spruce (Picea sitchensis),3,6,15,RCKI,"wind, stream",Natural,Yes,MJO,NA
Setophaga townsendi,SRE24M02,5/24/2017,8:00:00 AM,"Fassifern FS rd, Cranbrook",49 30.633,115 52.233,1305,Conifer,60,Douglas Fir (Pseudotsuga menziesii),1,3,15,PAWR,"wind, cracking of trees",Natural,No,LM,"infrequent singing. When banding, 2 more TOWA seen, fighting with SRE24M02"
Setophaga townsendi,SRE24M03,5/24/2017,9:35:00 AM,"Fassifern FS rd, Cranbrook",49 30.689,115 53.188,1405,Conifer,60,Douglas Fir (Pseudotsuga menziesii),2,5,10,"DEJU, RCKI, WETA",Squirrel,Natural,No,MJO,"female nearby, foraging low. song and call notes"
Setophaga townsendi,SRE25M01,5/24/2017,6:04:00 AM,"Fassifern FS rd, Cranbrook",49 30.341,115 52.407,1325,Conifer,75,Douglas Fir (Pseudotsuga menziesii),2,3,10,"RCKI, HETH",NA,Natural,Yes,MJO,NA
Setophaga townsendi,SRE17M03,5/17/2017,8:20,Silver Skagit Rd,49 18.402,121 24.334,390,Mixed Conifer and Hardwood,40,Red Alder,3,6,10,"EVGR, NOFL, CAVI, WIWA, SOGR",NA,Natural,N,MJO,"saw at least 2 males and 2 females, singing and feeding from an Alder. Probably a flock on migration?"
Setophaga townsendi,SRE17M04,5/17/2017,8:48,Silver Skagit Rd,49 18.208,121 24.028,378,Mixed Conifer and Hardwood,50,"Red Cedar, Red Alder",2,5,20,BTYW,NA,Natural,N,MJO,NA
Setophaga townsendi,SRE17M05,5/17/2017,9:05,Silver Skagit Rd,49 17.808,121 23.964,366,Mixed Conifer and Hardwood,75,Red Cedar,2,4,15,"AMRO, CAVI, WAVI, BTYW",NA,Natural,N,MJO,NA
Setophaga townsendi,SRE17M07,5/17/2017,9:55,Silver Skagit Rd,49 13.017,121 22.979,494,Conifer,80,Red Cedar,3,4,5,"BTYW, PISI",River,Natural,N,MJO,NA
Setophaga townsendi,SRE17M08,5/17/2017,10:17,Silver Skagit Rd,49 12.880,121 23.312,534,Conifer,60,"Douglas Fir, Red Cedar",2,3,25,"HAFL, BTYW","River, Plane",Natural,N,MJO,NA
Setophaga townsendi,SRE17M09,5/17/2017,10:35,Silver Skagit Rd,49 13.085,121 22.465,461,Conifer,80,Douglas Fir,2,4,15,"PISI, YRWA, BTYW, HAFL",NA,Natural,N,MJO,NA
Setophaga townsendi,SRE18M01,5/18/2017,8:20,"Sumallo FS Rd, Sunshine Valley",49 13.567,121 14.081,884,Conifer,90,Douglas Fir,2,2,10,NA,River,Natural,N,MJO,buzzy song
Setophaga townsendi,SRE18M02,5/18/2017,9:00,"Sumallo FS Rd, Sunshine Valley",49 13.325,121 14.121,906,Conifer,NA,Douglas Fir,3,3,20,NA,stream,Natural,Y,LIMM,"in open spot, dense trees around"
Setophaga townsendi,SRE18M03,5/18/2017,9:15,"Sumallo FS Rd, Sunshine Valley",49 13.386,121 14.122,900,Conifer,95,Douglas Fir,3,2,10,"YRWA, SWTH",River,Natural,N,MJO,NA
Setophaga townsendi,SRE18M04,5/18/2017,10:30,"Sumallo FS Rd, Sunshine Valley",49 13.877,121 14.006,901,Conifer,70,Douglas Fir,3,2,15,PISI,"River, wind",Natural,N,NA,NA
Setophaga townsendi,SRE25M02,5/25/2017,8:10,"Fassifern FSR, Cranbrook",49 30.617',115 53.137',1408,Conifer,40,Douglas Fir,3,"3, 5",10,NA,NA,Natural,N,MJO,buzzy and clear songs
Setophaga townsendi,SRE25M03,5/25/2017,9:10,"Fassifern FSR, Cranbrook",49 30.445',115 53.130',1394,Conifer,70,Douglas Fir,2,3,15,PAWR,stream,Natural,N,MJO,NA
Setophaga townsendi,SRE25M04,5/25/2017,9:30,"Fassifern FSR, Cranbrook",49 30.293',115 52.335',1320,Conifer,60,Western Larch,2,5,10,"CORA, WETA, RCKI",NA,Natural,Y,MJO,can hear SRE25M01 in distance
Setophaga townsendi,SRE26M01,5/26/2017,6:30,"Wilson Lake FSR, Nakusp",50 14.649',117 40.967',1043,Conifer,95,Western Hemlock,2,2,15,GCKI,NA,Natural,N,MJO,NA
Setophaga townsendi,SRE26M02,5/26/2017,7:05,"Wilson Lake FSR, Nakusp",50 14.471',117 40.514',1009,Conifer,90,Western Hemlock,2,5,15,PISI,NA,Natural,Y,MJO,NA
