Timestamp,Song ID,Date,Time,Banded,Locality,GPS coordinate North,GPS coordinate West,Elevation (m),Habitat Type,Dominant Species,% Canopy Cover,Tree Size Class,Understory ,Estimated distance from record (m),Disturbance in recording?,Background species,Initials of Recorder,Notes
5/11/2017 14:02:55,SRE07M06,5/7/2017,8:08,No,LOON LAKE,49*15.165,124*41.551,384,Conifer,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",70,2,2,10-25,,"PSFL, AMRO, HAFL, RBSA, PAWR",,TRACK 1010; STARTED CLOSE THEN FLEW TO DIFFERENT PART OF TERRITORY
5/11/2017 13:55:42,SRE07M07,5/7/2017,8:21:00 AM,Yes,LOON LAKE,49*15.144,124*41.462,383,Conifer,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",40,2,2,15,,"MGWA, PISI",,TRACKS 54 AND 55; 2ND TOWA IN DISTANCE
5/11/2017 13:57:55,SRE07M08,5/7/2017,8:20:00 AM,No,LOON LAKE,49*15.122,124*41.476,380,Conifer,Douglas Fir (Pseudotsuga menziesii),70,3,3,30,RIVER,"PSFL, MGWA",,TRACK 1012
5/11/2017 14:00:08,SRE07M09,5/7/2017,8:40:00 AM,No,Loon Lake,49*15.117',124*41.313',400,Conifer,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",85,2,2,15,,"STJA, HAFL, RBSA",,"Flew away at end of recording, sings distantly"
5/11/2017 14:03:28,SRE07M10,5/7/2017,4:50:00 PM,Yes,Tofino,49*04.104',125*39.913',35,Conifer,Red Cedar (Thuga plicata),65,3,6,15,,,MJO,Banded on 09 May 2017
5/11/2017 13:52:31,SRE08M01,5/8/2017,6:35:00 AM,Yes,Tofino,49*03.660',125*40.898,48,Conifer,Douglas Fir (Pseudotsuga menziesii),90,3,6,25,,,,
5/11/2017 13:57:57,SRE08M02,5/8/2017,7:10:00 AM,No,Tofino,49*03.523',125*40.892,44,Conifer,Red Cedar (Thuga plicata),,2,6,45,,"WIWA, CORA, HUVI",,
5/11/2017 14:12:30,SRE08M03,5/8/2017,7:43:00 AM,No,Tofino,49*03.421,125*40.915',54,Conifer,Red Cedar (Thuga plicata),,2,6,15,,"WIWA, HUVI, VATH, CORA",,
5/11/2017 14:17:14,SRE08M04,5/8/2017,8:27:00 AM,Yes,Tofino,49*03.354',125*40.629',57,Conifer,Red Cedar (Thuga plicata),65,2,6,15,Traffic,"HUVI, CORA",,
5/11/2017 13:50:45,SRE08M05,5/8/2017,9:03:00 AM,No,TOFINO ,49*03.163,125*40.513,51,Conifer,Red Cedar (Thuga plicata),,2,5,10,,"CORA, HETH, PAWR, AMRO",,TRACK 61
5/11/2017 13:53:42,SRE08M06,5/8/2017,9:08:00 AM,Yes,TOFINO,49*03.233,125*40.513,66,Conifer,Red Cedar (Thuga plicata),80,3,5,20,,PAWR,,TRACKS 1020 AND 1021; GPS WAYPOINT 007
5/11/2017 14:20:28,SRE08M07,5/8/2017,10:50:00 AM,No,Tofino,49*03.372',125*40.419',46,Conifer,Red Cedar (Thuga plicata),70,2,6,25,,"HUVI, GCKI",,2 TOWA singing in the background
5/11/2017 14:22:29,SRE08M08,5/8/2017,11:00:00 AM,No,Tofino,49*03.409',125*40.434',30,Conifer,Red Cedar (Thuga plicata),50,2,6,15-30,,HUVI,,
5/11/2017 14:09:07,SRE08M09,5/8/2017,11:12:00 AM,No,Tofino,49*03.604',125*40.433',48,Conifer,Douglas Fir (Pseudotsuga menziesii),60,3,6,15,,,,TOWA (SRE08M10) singing in distance
5/11/2017 14:10:53,SRE08M10,5/8/2017,11:25:00 AM,No,Tofino,49*03.728',125*40.386,64,Conifer,Sitka Spruce (Picea sitchensis),60,2,4,30,Chainsaw,,,
5/11/2017 11:47:19,SRE08M11,5/8/2017,11:30:00 AM,No,Tofino,49*03.739,125*40.326,40,Conifer,Sitka Spruce (Picea sitchensis),80,2,4,20,,"OCWA, YRWA",,another TOWA in distance (possibly 2)
5/11/2017 11:41:40,SRE08M12,5/8/2017,11:46:00 AM,Yes,Tofino,49*03.839,125*40.096,50,Conifer,Red Cedar (Thuga plicata),,3,6,10,,"WIWA, HETH",,caught on 09 May 2017
5/11/2017 11:22:06,SRE09M01,5/9/2017,7:10:00 AM,Yes,Tofino,49*03.802',125*40.212,38,Conifer,Sitka Spruce (Picea sitchensis),40,,,15,,,,1 of 3 TOWA nearby
5/11/2017 11:17:07,SRE09M02,5/9/2017,7:48:00 AM,No,Tofino,49*03.977',125*39.999',35,Conifer,Red Cedar (Thuga plicata),70,3,5,20,MJO,"GCKI, PAWR",,Bird was flying around his territory while singing a buzzy song
5/11/2017 11:18:40,SRE09M03,5/9/2017,10:05:00 AM,No,Pacific Rim Park - Long Beach,49*04.237,125*45.282,7,Conifer,Sitka Spruce (Picea sitchensis),40,3,6,10,MJO,RECR,MJO,
5/11/2017 11:55:05,SRE09M04,5/9/2017,10:10:00 AM,No,Pacific Rim Park- Long Beach,49*04.242',125*45.254',17,Hardwood,Red Alder (Alnus rubra),40,2,6,30,traffic,,MJO,singing on a lone conifer (Douglas Fir) in a hardwood patch
5/11/2017 11:56:57,SRE10M01,5/10/2017,5:50:00 AM,No,"McIvor Lake Park, Campbell River",50*00.884',125*21.947,205,Conifer,Douglas Fir (Pseudotsuga menziesii),60,2,6,15,,"YRWA, DEJU, CORA, WCSP",,
5/11/2017 11:49:49,SRE10M02,5/10/2017,6:35:00 AM,No,"McIvor Lake Park, Campbell River",50*00.995',125*22.396',189,Conifer,Douglas Fir (Pseudotsuga menziesii),60,3,6,15-35,Helicopter,"CORA, DEJU, YRWA",,3 TOWA chasing each other
5/11/2017 11:51:24,SRE10M03,5/10/2017,6:43:00 AM,Yes,"McIvor Lake Park, Campbell River",50*01.108',125*22.588',214,Conifer,Western Hemlock (Tsuga heterophylla),80,1,1,5,,,,
5/11/2017 12:28:30,SRE10M04,5/10/2017,7:35:00 AM,Yes,"McIvor Lake Park, Campbell River",50*01.106',125*22.727',190,Conifer,Douglas Fir (Pseudotsuga menziesii),70,1,4,20,,SPTO,MJO,lots of variability in song. Fighting with SRE10M05
5/11/2017 12:43:12,SRE10M05,5/10/2017,7:50:00 AM,No,"McIvor Lake Park, Campbell River",50*01.108',125*22.700',196,Conifer,Douglas Fir (Pseudotsuga menziesii),70,1,4,20,,MGWA,,"Fighting with SRE10M04. Aggressive chips, odd song."
5/11/2017 12:45:21,SRE10M06,5/10/2017,8:43:00 AM,No,"McIvor Lake Park, Campbell River",50*00.963',125*22.710',185,Conifer,Douglas Fir (Pseudotsuga menziesii),60,1,6,20,,"CORA, NWCR, DEJU, NRWS",EM,
5/11/2017 12:46:30,SRE10M07,5/10/2017,9:00:00 AM,No,"McIvor Lake Park, Campbell River",50*01.028',125*22.907',215,Conifer,Douglas Fir (Pseudotsuga menziesii),50,2,6,,,"CORA, DEJU",,
5/11/2017 13:43:01,SRE10M08,5/10/2017,9:10:00 AM,No,"McIvor Lake Park, Campbell River",50*00.908,125*23.103',215,Conifer,Douglas Fir (Pseudotsuga menziesii),60,3,6,25,,"RBNU, HAFL",,another TOWA in distance
5/11/2017 15:17:02,SRE10M09,5/10/2017,9:23:00 AM,No,"McIvor Lake Park, Campbell River",50*00.804',125*23.137',210,Conifer,Douglas Fir (Pseudotsuga menziesii),60,2,6,20,squirrel,HAFL,,includes call notes
5/11/2017 13:38:41,SRE10M10,5/10/2017,9:28:00 AM,No,"McIvor Lake Park, Campbell River",50*00.883',125*23.120',218,Conifer,Douglas Fir (Pseudotsuga menziesii),50,2,6,25,,"HAFL, DEJU, BAEA, CORA",MJO,Bird was close then moved further away. Presumed to be TOWA in background of SRE10M08
5/11/2017 13:40:53,SRE10M11,5/10/2017,9:40:00 AM,No,"McIvor Lake Park, Campbell River",50*00.889',125*23.068',217,Conifer,Douglas Fir (Pseudotsuga menziesii),50,2,6,30,Chainsaw,,,Clear song individual singing in the background
5/11/2017 12:01:26,SRE10M12,5/10/2017,9:40:00 AM,No,"McIvor Lake Park, Campbell River",50*00.974',125*022.919',209,Conifer,Douglas Fir (Pseudotsuga menziesii),,1,5,15-25,,"HAWO, CORA",,
5/11/2017 12:03:52,SRE10M13,5/10/2017,10:30:00 AM,No,Campbell River,49*59.889',125*22.770',194,Conifer,Douglas Fir (Pseudotsuga menziesii),,2,5,15,Traffic,"SOSP, AMRO, COYE, WAVI, SPTO, OCWA",,TOWA close then flew to further distance
5/11/2017 13:49:04,SRE10M14,5/10/2017,10:54:00 AM,No,"Forest Service Rd, Campbell River",49*59.094',125*25.989',230,Conifer,Douglas Fir (Pseudotsuga menziesii),60,3,3,20,Traffic,"DEJU, MGWA, RUHU",,neighbors in background
5/11/2017 13:51:16,SRE10M15,5/10/2017,11:05,No,"Forest Service Rd, Campbell River",49*59.086',125*25.982',221,Conifer,Douglas Fir (Pseudotsuga menziesii),80,3,1,5,Traffic,,LM,sang only in first few minutes
5/11/2017 13:44:26,SRE10M16,5/10/2017,11:15:00 AM,No,"Forest Service Rd, Campbell Lake",49*54.077',125*26.024,235,Conifer,Douglas Fir (Pseudotsuga menziesii),,3,4,20,Traffic,,LM,
5/11/2017 13:46:39,SRE10M17,5/10/2017,11:12:00 AM,No,Campbell River,49*59.077',125*26.162,230,Conifer,Douglas Fir (Pseudotsuga menziesii),,2,4,30,Traffic,"DEJU, MGWA",,Territory beside a clearcut. 1 distant TOWA
5/21/2017 16:50:58,SRE19M01,5/19/2017,6:10:00 AM,No,MCKINNEY FSR -BRIDESVILLE,49*05.741,119*07.718,1124,Conifer,Western larch (Larix occidentalis),50,2,2,5,,"BCCH, PISI",MJO,FEMALE TOWA NEARBY; TRACK 660
5/21/2017 17:17:54,SRE19M02,5/19/2017,8:30:00 AM,Yes,FISH LAKE W. RD. -BRIDESVILLE,49*07.008,119*09.213,1199,Conifer,Douglas Fir (Pseudotsuga menziesii),70,2,2,10,RIVER,BCCH,MJO,OTHER SIDE OF ROAD IS CLEAR CUT; TRACK 1003
5/21/2017 16:40:57,SRE19M03,5/19/2017,9:39:00 AM,No,FISH LAKE WEST RD - BRIDESVILLE,49*06.640,119*08.773,1142,Conifer,Douglas Fir (Pseudotsuga menziesii),40,3,3,10,RIVER,"BCCH, LISP, WAVI, DEJU",,
5/21/2017 16:48:01,SRE19M04,5/19/2017,10:40:00 AM,Yes,STANHOPE CREEK FSR -BRIDESVILLE,49*06.775,119*08.651,1141,Conifer,"Douglas Fir(Pseudotsuga menziesii), Western larch (Larix occidentalis)",40,2,4,5,,"RBNU, HAFL, RCKI",LM,
5/21/2017 17:31:14,SRE20M01,5/20/2017,6:30:00 AM,Yes,STANDHOPE CR. FSR - BRIDESVILLE,49*07.766,119*08.363,1145,Conifer,Western larch (Larix occidentalis),40,2,3,10,RIVER,YRWA,MJO,FIGHTING WITH SRE20M02 OVER TERRITORY BOUNDARY
5/21/2017 17:34:04,SRE20M02,5/20/2017,6:40:00 AM,Yes,STANDHOPE CR. FSR - BRIDESVILLE,49*07.737,119*08.349,1142,Conifer,Western larch (Larix occidentalis),40,2,3,15,RIVER,YRWA,MJO, FIGHTING WITH SRE20M01 OVER TERRITORY BOUNDARY
5/21/2017 17:20:35,SRE20M03,5/20/2017,8:30:00 AM,No,MT.BALDY SKI HILL RD - BRIDESVILLE,49*06.222,119*10.276,1236,Conifer,Western larch (Larix occidentalis),70,2,1,20,"STREAM, SQUIRRELS","TOSO, YRWA",LM,RECORDER SAYS FISH LAKE ROAD and 8:20 TIME
5/21/2017 17:27:55,SRE20M04,5/20/2017,8:46:00 AM,No,MT. BALDY SKI HILL RD. - BRIDESVILLE,49*06.568,119*10.815,1289,Conifer,"Douglas Fir (Pseudotsuga menziesii), Western larch (Larix occidentalis)",50,3,2,10,STREAM,,MJO,
5/23/2017 9:09:50,SRE20M05,5/20/2017,10:00:00 AM,No,MT. BALDY SKI HILL RD. - BRIDESVILLE,49 06.913,119 11.899,1355,Conifer,"Douglas Fir (Pseudotsuga menziesii), Western larch (Larix occidentalis)",70,3,5,15,squirrel,"RBNU, RCKI",MJO,
5/23/2017 9:12:01,SRE21M01,5/21/2017,5:18:00 AM,No,"Merry Creek FSR, Castlegar",49 17.556,117 40.791,795,Conifer,Red Cedar (Thuga plicata),80,3,2,15,squirrels,,LM,"Another TOWA nearby, responding to one another. Recording says Grand Forks, but actually in Castlegar"
5/23/2017 9:13:30,SRE21M02,5/21/2017,6:20:00 AM,Yes,"Merry Creek Trail, Castlegar",49 17.885,117 41.004,812,Conifer,Western Hemlock (Tsuga heterophylla),95,2,1,20,"squirrel, stream",,MJO,
5/23/2017 9:14:52,SRE21M03,5/21/2017,7:30:00 AM,Yes,"Merry Creek Trail, Castlegar",49 18.042,117 41.127,809,Conifer,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",80,3,3,5,"squirrel, stream","MGWA, PAWR",MJO,
5/22/2017 14:07:36,SRE21M04,5/21/2017,8:20:00 AM,Yes,"Big Cedar Trail, Castlegar",49*18.245,117*41.236,827,Conifer,Western Hemlock (Tsuga heterophylla),90,3,3,10,,,MJO,"1st rec: short recording, no notes spoken in recording. 2nd: taken after banding"
7/20/2017 10:10:43,SRE21M05,5/21/2017,10:20:00 AM,No,"Big Cedar Trail, Castlegar",49 18.449,117 41.321,844,Conifer,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",85,3,3,5-20,,"PAWR, GCKI",LM,
5/23/2017 9:17:26,SRE21M06,5/21/2017,10:40:00 AM,No,"Big Cedar Trail, Castlegar",49 18.159,117 41.191,824,Conifer,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",80,2,4,10,,,LM,
6/1/2017 13:55:32,SRE22M01,5/22/2017,7:50:00 AM,Yes,"Clearwater Creek FS rd, Nelson",49 23.404,117 10.565,1101,Conifer,Red Cedar (Thuga plicata),100,2,3,25,river,PISI,MJO,Very dense forest
6/1/2017 14:04:56,SRE22M02,5/22/2017,8:55:00 AM,No,"Clearwater Creek FS rd, Nelson",49 23.482,117 10.847,1068,Conifer,Red Cedar (Thuga plicata),90,2,3,10,,,MJO,"
"
6/1/2017 14:08:35,SRE22M03,5/22/2017,10:05:00 AM,No,"Clearwater Creek FS rd, Nelson",49 24.211,117 12.160,964,Conifer,Red Cedar (Thuga plicata),50,2,4,15,traffic,PAWR,LM,
6/1/2017 14:10:26,SRE22M04,5/22/2017,10:40:00 AM,No,"Giveout Creek Rd, Nelson",49 26.426,117 16.026,971,Conifer,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",,,,15,stream,,LM,"thick growth of young trees, unable to get into forest"
6/1/2017 14:18:52,SRE24M01,5/24/2017,7:15:00 AM,Yes,"Fassifern FS rd, Cranbrook",49 29.641,115 51.924,1204,Mixed Conifer/Hardwood,Sitka Spruce (Picea sitchensis),70,3,6,15,"wind, stream",RCKI,MJO,
6/1/2017 14:23:12,SRE24M02,5/24/2017,8:00:00 AM,No,"Fassifern FS rd, Cranbrook",49 30.633,115 52.233,1305,Conifer,Douglas Fir (Pseudotsuga menziesii),60,1,3,15,"wind, cracking of trees",PAWR,LM,"infrequent singing. When banding, 2 more TOWA seen, fighting with SRE24M02"
6/1/2017 14:25:31,SRE24M03,5/24/2017,9:35:00 AM,No,"Fassifern FS rd, Cranbrook",49 30.689,115 53.188,1405,Conifer,Douglas Fir (Pseudotsuga menziesii),60,2,5,10,Squirrel,"DEJU, RCKI, WETA",MJO,"female nearby, foraging low. song and call notes"
6/1/2017 14:30:14,SRE25M01,5/24/2017,6:04:00 AM,Yes,"Fassifern FS rd, Cranbrook",49 30.341,115 52.407,1325,Conifer,Douglas Fir (Pseudotsuga menziesii),75,2,3,10,,"RCKI, HETH",MJO,
